address,date_added,description,phone,price,seller,title
"Hill Top Road, Newmillerdam, Wakefield",Reduced on 21/05/2021,"4 Bedroom Detached character Cottage with ample off road parking and Integral Garage. Gardens envelop the property with views of the Dam and fields to Rear. Great location within prime position in Newmillerdam, local amenities and transport links. Not to be Missed!",01924 767124,"£749,950","William H. Brown, Wakefield",4 bedroom detached house for sale
"George Lane, Notton, Wakefield, WF4",Reduced on 26/04/2021,"Purplebricks are delighted to offer this outstanding stone-built modern family home in the popular village of Notton near Wakefield, Wets Yorkshire. The property boasts extensive family accommodation, tastefully designed and decorated, spanning three main levels with two mezzanines. Finished...",020 8012 7458,"£749,500","Purplebricks, covering Wakefield",6 bedroom detached house for sale
"Clarence Drive, Harrogate, North Yorkshire, HG1",Reduced on 24/07/2020,Harrogate's most prestigious and luxurious apartments. Windsor Court penthouse apartment 3.4 offers luxurious 3 bedroom brand new accomodation in one of the most desirable addresses situated just moments from Harrogate's Spa town centre and the stunning Valley Gardens. The development is ideall...,01423 429050,"£749,000","Knight Frank, Harrogate",3 bedroom flat for sale
"Plainville Lane, Wigginton, York, YO32",Reduced on 24/04/2021,Flexible and light family home set in a wonderful setting ,01904 200057,"£745,000","Savills, York",3 bedroom semi-detached house for sale
"Walnut Cottage, 3 The Close, Studley Roger, Ripon, North Yorkshire HG4 3AX",Added on 05/05/2021,"Walnut Cottage is a beautifully presented detached village home set in delightful partially walled south facing gardens adjoining the World Heritage Site of Studley Royal Deer Park and Fountains Abbey. This stylish family home constructed of mellow natural stone under a clay pantiled roof, sit...",01423 429033,"£745,000","Buchanan Mitchell Ltd, North Yorkshire",4 bedroom detached house for sale
"Lee Lane, Millhouse Green, Sheffield",Added on 15/05/2021,"Occupying a secluded setting privately enclosed within ½ an acre grounds, enjoying south facing gardens to the rear, a stunning approach which immediately sets the scene and breathtaking views over open countryside towards the Pennines.",01484 977058,"£745,000","Fine & Country, Huddersfield",4 bedroom detached house for sale
"Prestigious New Development, Main Street, South Duffield",Added on 29/03/2021,"*LAST PLOT REMAINING PLOT 2* An outstanding new development of four, prestigious homes, being built by well renowned local builders Dimmack Brothers, located in the rural village of South Duffield. This exceptional site offers four, substantial, 6 bedroom detached family homes built to a very hi...",01405 488105,"£740,000","Screetons, Howden",6 bedroom detached house for sale
"Reynard Crag Lane, High Birstwith, North Yorkshire",Reduced on 25/05/2021," We are delighted to bring to the market this former Smallholding with approximately 2.5 acres of land and breathtaking views over Nidderdale Countryside. The stone-built, link-detached family home itself has over 2200 square feet of accommodation and flexibly offers up to five double bedrooms...",01423 429026,"£735,000","Myrings Estate Agents, Harrogate",4 bedroom link detached house for sale
"Lindrick Common, Worksop, Nottinghamshire, S81 8BQ",Reduced on 26/10/2017,Hunters Woodseats are delighted to market this amazing lifestyle business which includes a substantial dormer bungalow which is currently split for two generations of families to live situated upon a large site used as a profitable cattery and kennels. There is a field to one side which could be ...,0114 467 1603,"£735,000","Hunters, Woodseats",4 bedroom bungalow for sale
"Kirk Hill, Redmarshall",Reduced on 02/03/2021,Occupying a Delightful Setting at the Edge of the Highly Regarded Village of Redmarshall. An Individually Designed Five Bedroom Detached Family/Executive Residence Offering Substantial Accommodation Extending To Just Over 3000 Sq. Ft.,01642 268065,"£735,000","Michael Poole, Yarm",5 bedroom detached house for sale
"Oakwood Grange Lane, Oakwood, Leeds",Added on 08/04/2021,"A deceptively spacious detached home set in this extremely sought after location in Oakwood. Built in reclaimed stone with a slate roof, the property combines a very characterful external appearance with a unique and contemporary interior boasting stylish accommodation arranged over three floors....",0113 451 3247,"£730,000","Manning Stainton, Roundhay",4 bedroom detached house for sale
Wroot NORTH LINCOLNSHIRE,Added on 02/02/2021,"A VERY WELL PRESENTED THREE BEDROOM DETACHED BUNGALOW WITH A TWO BEDROOM ANNEXE AND FANTASTIC EQUESTRIAN FACILITIES SET IN JUST UNDER FIVE ACRES, IN A POPULAR VILLAGE LOCATION",01264 570018,"£730,000","Rural Scene, Collingbourne Ducis",5 bedroom detached house for sale
"Main Street, Seamer, Scarborough",Reduced on 17/05/2021,"Currently trading as an established guesthouse, this charming 18th century cottage is located in the well regarded village of Seamer. Run as a family business, the property has much to offer both commercially and residentially, set in approximately 6 acres, there is also a detached holiday cottag...",01723 315028,"£730,000","Colin Ellis Estate Agents, Scarborough",5 bedroom farm house for sale
"2 Victoria Avenue, ILKLEY",Added on 12/09/2020,"Very rarely do properties of such grandeur come to market, Harrison Robinson is delighted to offer one such charming property. Situated to the foot of Victoria Avenue, you have probably admired this beautiful home many times. Yes, it’s the one with the hexagonal tower and the grand piano in the b...",01943 678328,"£729,950","Harrison Robinson, Ilkley",5 bedroom end of terrace house for sale
Swinefleet,Added on 27/08/2020,POTENTIAL EQUESTRIAN USE WITH 5 ACRES OF PADDOCKS. A desirable property privately nestled in the hamlet of Whinsgate. boasting panoramic open views over countryside. This beautiful home is a credit to its' current owner and offers sizeable living accommodation. Standing in an acre of lawned garde...,01427 377005,"£725,000","Keith Clough, Epworth",4 bedroom detached house for sale
"Carleton Road, Pontefract",Added on 29/10/2020,**OPEN HOUSE SATURDAY 22nd MAY 2021 2PM - 4PM **Carleton Gardens is a small exclusive development of high quality and spacious family homes located in one of the most sought after residential areas of Pontefract. These homes will offer modern family living within a gated community and offer disce...,01977 325039,"£725,000","Crown Estate Agents, Pontefract",5 bedroom detached house for sale
"Dale View, Ilkley, LS29",Added on 20/05/2021,"A superb family home offering very well appointed and spacious accommodation that enjoys a flexible layout with the advantage of a most appealing southerly facing, landscaped garden that enjoys a good degree of privacy.",01943 678307,"£725,000","Dacre Son & Hartley, Ilkley",4 bedroom detached house for sale
"Ainderby Road, Northallerton",Added on 09/07/2020,***NO STAMP DUTY TO PAY (terms & conditions apply) *** This fabulous five bedroom barn conversion comes to the market having been finished to a high specification and internal viewing is highly recommended at the earliest opportunity where the discerning purchasers cannot fail to be impressed...,01327 611131,"£725,000","Venture Properties, Darlington",5 bedroom barn conversion for sale
"Grantchester Close, Hull, HU5",Added on 26/05/2021,"GUIDE PRICE £95,000-£100,000 THREE DOUBLE BEDROOM MID TERRACE PROPERTY OFFERED TO THE MARKET WITH NO CHAIN INVOLVED - CALL NOW TO ARRANGE A VIEWING!",01482 750197,"£95,000","Beercocks, Willerby",3 bedroom terraced house for sale
"Hill HOUSE SOUTH, WOOLSTOCK LANE, CAWTHORNE, BARNSLEY, S75 4EA",Added on 29/05/2021,"SIMPLY STUNNING..... AN OUTSTANDING CHARACTER PROPERTY DATING BACK TO CIRCA 1860, SET WITHIN BEAUTIFUL GROUNDS APPROACHING 1/2 ACRE POSITIONED IN THE AWARD WINNING VILLAGE OF CAWTHORNE.
",01226 414150,"£725,000","Mallinson and Co, Penistone",4 bedroom semi-detached house for sale
"Brocks Farm, York Road, Cliffe, Selby, YO8 6NU",Reduced on 29/03/2021,"Brocks Farm sits on approximately two acres of gardens and paddock and is a delight to discover, full of character and charm offering a three-bedroom detached property. In addition, there is an abundance of opportunity for development and modernisation for the barns and stables (subject to any n...",01757 820021,"£725,000","Hunters, Selby",3 bedroom detached house for sale
"Plot 20 Park Croft, Hellifield Road, Gargrave, Skipton",Added on 12/09/2020,"Ideally situated in the beautiful village of Gargrave enjoying a delightful waterside location alongside the scenic Leeds Liverpool canal, this impressive brand new residential development offers an exciting choice of spacious three and five bedroom en-suite stone built luxury homes constructed t...",01756 535010,"£725,000","Harrison Boothman, Skipton",5 bedroom detached house for sale
"Main Street, Menston",Added on 16/05/2021,"A CHARMING INDIVIDUAL STONE RESIDENCE OF GREAT CHARACTER, DATING FROM THE LATE 18TH CENTURY, RETAINING MANY APPEALING FEATURES AND OFFERING SPACIOUS AND WELL PROPORTIONED FOUR BEDROOMED FAMILY ACCOMMODATION Located within a short stroll of numerous local amenities in the village centre, Stocks...",01943 678316,"£725,000","Dale Eddison, Ilkley",4 bedroom semi-detached house for sale
"55, Tapton Crescent Road, Broomhill, S10 ",Added on 01/02/2021,DETACHED HOUSE WITH PLANNING PERMISSION FOR FURTHER DWELLINGS Located on this popular road within the highly sought after area of Broomhill is this fabulous five bedroom detached family home. Offered to the market with no onward chain the house is built over three floors and enjoys superb views ...,0114 467 1789,"£725,000","Spencer The Estate Agent, Sheffield",5 bedroom detached house for sale
"Peel House, New Row, Boroughbridge, North Yorkshire, YO51",Reduced on 27/05/2021,"UNEXPECTEDLY REOFFERED - NO ONWARD CHAIN - A stunning converted detached residence, combining a wealth of original period features with a high standard of modern specification and located literally within minutes’ walk of the town centre.",01423 429100,"£725,000","Carter Jonas, Harrogate",4 bedroom detached house for sale
Land with Planning Permission in the Heart of Roundhay,Reduced on 27/05/2021,"Unique opportunity to build the home of a lifetime! Land in prime location in the heart of Roundhay. Planning permission passed to demolish current building block consisting of two apartments and build a magnificent six bedroom, three storey, detached dwelling, potential value £1.25m+. Ph...",0113 451 0422,"£725,000","Martin & Co, Roundhay",6 bedroom detached house for sale
"Hillcrest, Collingham, Wetherby, LS22",Added on 07/05/2021,"An imposing five bedroom semi-detached Edwardian property tastefully decorated and equipped with high end fixtures and fittings throughout, along with a generous detached annexe located on this highly sought after part of Collingham with elevated views over countryside to Woodhall at Linton. ",01937 358003,"£725,000","Renton & Parr, Wetherby",5 bedroom semi-detached house for sale
Land with Planning Permission in the Heart of Roundhay,,"Unique opportunity to build the home of a lifetime! Land in prime location in the heart of Roundhay. Planning permission passed to demolish current building block consisting of two apartments and build a magnificent six bedroom, three storey, detached dwelling, potential value £1.25m+. Phone...",0113 451 3308,"£725,000","Martin & Co, Leeds City",Land for sale
"Wainstalls, Halifax, HX2",Added on 29/03/2021,Purplebricks are delighted to present to market this rare opportunity to purchase a unique 3/4 bedroom property commanding a wonderful elevated location with stunning panoramic views across the most unspoiled and tranquil valley in Calderdale. Seldom does such an opportunity arise to acquire such...,020 8012 7217,"£725,000","Purplebricks, covering Halifax",3 bedroom detached house for sale
